"slc","ppe","egdd","esm","efm","eff","moistureDeduction","temperatureDeduction","basicClimateRating","springMoisture","fallMoisture","fallFrost","points","class"
386006,-155.7,1283,6.4,41.6,0,1.14,31.7,68.3,5.64,4.16,0,61.6066,"2H"
261014,-215.1,1033,7.3,28.1,0,13.02,56.7,43.3,5.73,2.81,0,39.60218,"4H"
983010,-210.5,517,4,-16.3,0,12.1,89.15,10.85,5.4,0,0,10.2641,"6H"
341012,-171.9,1077,3.4,38.1,0,4.38,52.3,47.7,5.34,3.81,0,43.33545,"4H"
946024,248.7,1419,177.5,195,0,0,18.1,81.9,10,10,0,65.52,"2H"
264002,-107.7,549,11.2,28.6,0,0,87.55,12.45,6.12,2.86,0,11.33199,"6H"
975014,-245.6,590,-17.6,-23.9,0,19.12,85.5,14.5,3.24,0,0,14.0302,"6AH"
1017013,-215.3,989,20.3,-13.5,0,13.06,61.1,38.9,7.03,0,0,36.16533,"4H"
957017,-309.9,1861,2.6,-29,0,31.98,0,68.02,5.26,0,0,64.442148,"2A"
505014,-156.4,1797,43.7,9.3,0,1.28,0,98.72,9.37,0.93,0,88.55184,"1"
438003,-47.8,1272,59.7,51.6,0,0,32.8,67.2,10,5.16,0,57.01248,"3H"
102008,29.2,139,18.3,37.3,0,0,108.05,-8.05,6.83,3.73,0,-7.19992,"7H"
270006,-60.9,563,17.3,42.3,0,0,86.85,13.15,6.73,4.23,0,11.70876,"6H"
990019,-60.8,582,59,25.6,0,0,85.9,14.1,10,2.56,0,12.32904,"6H"
619007,-61,1095,-11.3,15.3,0,0,50.5,49.5,3.87,1.53,0,46.827,"3H"
745014,-297.4,1588,-18.3,-22.8,0,29.48,1.19999999999999,70.52,3.17,0,0,68.284516,"2A"
285017,-51.6,785,25.9,79.5,0,0,75.75,24.25,7.59,7.95,0,20.48155,"5H"
395003,-129.7,1205,13.1,51.3,0,0,39.5,60.5,6.31,5.13,0,53.5788,"3H"
806008,-374.2,1606,-41.7,-43.6,0,44.84,0,55.16,0.83,0,0,54.702172,"3A"
184003,-20.8,255,14.5,34.6,0,0,102.25,-2.25,6.45,3.46,0,-2.027025,"7H"
523032,3.4,1530,96.2,44.7,0,0,7,93,10,4.47,0,79.5429,"2"
1006013,-206.8,794,11.7,-12.2,0,11.36,75.3,24.7,6.17,0,0,23.17601,"5H"
1004007,-248.1,1091,-15.4,-12.1,0,19.62,50.9,49.1,3.46,0,0,47.40114,"3AH"
545001,-200.7,2047,21.7,13.7,0,10.14,0,89.86,7.17,1.37,0,82.185956,"1"
491002,-81.5,1378,48.5,30,0,0,22.2,77.8,9.85,3,0,67.8027,"2H"
348003,-180.2,1199,-0.6,30.7,0,6.04,40.1,59.9,4.94,3.07,0,55.10201,"3H"
522003,-73.7,1592,70.1,40.6,0,0,0.799999999999983,99.2,10,4.06,0,85.25248,"1"
988017,-29.7,619,58.9,44.2,0,0,84.05,15.95,10,4.42,0,13.65001,"6H"
995006,-221.2,901,7,-8.6,0,14.24,69.9,30.1,5.7,0,0,28.3843,"5H"
1021010,-108,779,18.8,45.9,0,0,76.05,23.95,6.88,4.59,0,21.202935,"5H"
946036,168.6,1300,122.3,179.2,0,0,30,70,10,10,0,56,"3H"
972008,-220.3,895,-12.5,5.6,0,14.06,70.25,29.75,3.75,0.56,0,28.467775,"5H"
600004,-205.8,1293,-22.8,-1,0,11.16,30.7,69.3,2.72,0,0,67.41504,"2H"
594003,-209,1231,-17.2,-2,0,11.8,36.9,63.1,3.28,0,0,61.03032,"2H"
985003,-91.8,776,13.6,38.3,0,0,76.2,23.8,6.36,3.83,0,21.37478,"5H"
921005,-114.5,703,-0.8,35.5,0,0,79.85,20.15,4.92,3.55,0,18.443295,"6H"
115001,124.5,39,30.1,53.1,0,0,113.05,-13.05,8.01,5.31,0,-11.31174,"7H"
730003,-231.9,1406,-18.3,-11.5,0,16.38,19.4,80.6,3.17,0,0,78.04498,"2AH"
