slc,soilType,claySurface,claySubsurface,sandSurface,sandSubsurface,siltSurface,siltSubsurface,cfSurface,cfSubsurface,awhcSurface,awhcSubsurface,ppe,ocSurfacePerc,surfacePH,subsurfacePH,surfaceEC,subsurfaceEC,sarSurface,sarSubsurface,E_DEPTH,bd,egdd,a,surfaceFibre,subsurfaceFibre,organicDepth,waterTableDepth,masterHorizon,substrateCF,substrateSilt,substrateClay
242021,4,25.33333333,39,16.33333333,32,24.66666667,29.5,1.333333333,2,14,53,-238.6,2.02,5.633333333,6.4,0,0,2.41,0.2202,200,0.8,1175,17.72,4,71,47,32,R,86,8,80
242022,23,19.66666667,56,14,11,33.33333333,33,0.333333333,1,7.666666667,36.5,-258.6,3.756666667,5.533333333,6.45,0,0,3.7038,0.2165,153.2,0.366666667,1225,21.72,66,28,1,35,CO,65,81,3
242023,4,19.66666667,56,14,11,33.33333333,33,0.333333333,1,7.666666667,36.5,-261,3.756666667,5.533333333,6.45,0,0,3.7038,0.2165,153.2,0.366666667,1237,22.2,73,2,45,29,C,70,19,3
242024,16,17.66666667,45,9.333333333,14.5,39.66666667,40.5,0.333333333,1,6.333333333,30.5,-245.1,4.196666667,5.5,6.3,0,0,3.866666667,0.28935,129.8,0.233333333,1204,19.02,21,21,81,79,A,57,43,28
242025,27,9.666666667,21.5,68,65,22.66666667,14,3.333333333,14,8.333333333,37,-267.6,1.49,5.566666667,6.25,0,0,3.125,1.3597,160,0.966666667,1244,23.52,62,44,16,73,R,13,69,17
242026,16,17.66666667,45,9.333333333,14.5,39.66666667,40.5,0.333333333,1,7.666666667,36,-262.4,3.763333333,5.566666667,6.35,0,0,3.75,0.284,153.2,0.366666667,1235,22.48,32,72,45,7,CO,47,0,1
242027,6,13.66666667,26,28,45.5,25,29,0.666666667,3.5,6.666666667,35.5,-225.7,3.54,4.766666667,5.8,0,0,4.057333333,0.32765,200,0.366666667,1155,15.14,22,1,7,56,C,93,79,39
242028,19,13.66666667,24.5,28,47,25,28,1.333333333,4.5,6.666666667,31.5,-234.3,3.946666667,5.366666667,6.3,0,0,3.662,0.31385,141.5,0.333333333,1173,16.86,84,33,60,98,A,73,59,2
242029,9,13.66666667,26,28,45.5,25,29,0.666666667,3.5,6.666666667,35.5,-242.9,3.54,4.766666667,5.8,0,0,4.057333333,0.32765,200,0.366666667,1197,18.58,79,19,18,5,R,49,1,34
243001,1,16,33.5,18.66666667,32.5,32.66666667,34.5,1,2,9.333333333,39.5,-245.4,3.296666667,5.466666667,6.3,0,0,3.413333333,0.28935,164.9,0.433333333,1202,19.08,98,44,93,27,CO,72,54,3
243004,24,15,29,22,38.5,30,32,2.333333333,3,12.33333333,48,-250.6,2.516666667,5.4,6.2,0,0,2.706666667,0.28935,176.6,0.666666667,1230,20.12,95,97,65,39,C,59,65,97
243005,10,13.66666667,21.5,28,50.5,25,28,3,4,12,45.5,-251.8,2.423333333,5.2,6.1,0,0,2.613333333,0.3,176.6,0.733333333,1250,20.36,7,20,7,60,A,15,62,40
244029,13,15,49,14,16,37.66666667,35,0.666666667,1.5,11,54,-218.2,2.94,4.6,5.1,0,0,2.814666667,0.1724,200,0.5,1257,13.64,28,78,38,81,R,72,35,18
244039,9,19,55.5,7.333333333,10,40.33333333,34.5,0,1,14.33333333,67.5,-237.4,2.446666667,5.466666667,6.2,0.166666667,0.55,2.179166667,0.09055,142.4,0.633333333,1251,17.48,27,22,78,82,CO,44,81,12
244040,15,15,46,8,14.5,43.66666667,39.5,0.333333333,1,8.333333333,37,-233.4,3.763333333,5.333333333,6.2,0,0,3.764,0.2295,153.2,0.366666667,1296,16.68,63,27,2,2,C,79,46,84
244041,21,14.66666667,51,8.666666667,11.5,43.33333333,37.5,0,0.5,7.333333333,37,-235.6,3.646666667,4.5,5.3,0,0,4.167766667,0.22615,200,0.333333333,1321,17.12,56,57,27,72,A,70,69,15
244043,6,21.66666667,49,27,14.5,51.33333333,37,1,1.5,10.66666667,54.5,-235.9,2.88,4.766666667,5.3,0,0,2.904666667,0.1724,200,0.533333333,1331,17.18,28,10,53,39,R,51,37,85
244046,1,14.66666667,51,8.666666667,11.5,43.33333333,37.5,0,1,7.666666667,37,-249,3.836666667,5.4,6.15,0,0,3.787766667,0.22615,164.9,0.333333333,1241,19.8,57,89,77,5,CO,38,98,9
244047,27,29,56.5,7,8,31,36,0,0.5,13,66.5,-248.3,2.576666667,6.233333333,6.55,1.766666667,5.75,1.6686,0.0916,101.6,0.566666667,1284,19.66,81,35,10,7,C,20,69,19
244048,16,18,55,7.666666667,10,41,35,0,1,13,61.5,-256.7,2.686666667,5.433333333,6.15,0.1,0.35,2.564166667,0.11895,161.6,0.6,1246,21.34,99,9,68,87,A,99,69,72
