"slc","region","ps","lt","cf","surface","subsurface","pattern","inundationPeriod","usableGrowingSeasonLength","frequency","points","class"
1,1,12,"simple",77,0,0,0,1,1,1,33.3147360574596,"4TP"
2,1,5,"complex",57,0,0,0,1,1,1,52.5801394189847,"3TP"
3,1,69,"simple",87,0,0,0,1,1,1,6.09612913276318,"7T"
4,2,17,"complex",22,0,0,0,1,1,1,34.5314509240306,"4T"
5,1,58,"simple",49,0,0,0,1,1,1,8.44810742838854,"7T"
6,2,25,"complex",65,0,0,0,1,1,1,19.4956097026381,"6T"
7,1,66,"simple",38,0,0,0,1,1,1,7.62602448669905,"7T"
8,1,77,"complex",64,0,0,0,1,1,1,5.39774393519063,"7T"
9,1,91,"simple",78,0,0,0,1,1,1,4.05476308138553,"7T"
10,1,88,"complex",36,0,0,0,1,1,1,5.09278472080315,"7T"
11,1,45,"simple",2,0,0,0,1,1,1,15.1588056449228,"6T"
12,1,39,"complex",84,0,0,0,1,1,1,12.1586443085706,"6T"
13,1,2,"simple",78,0,0,0,1,1,1,60.3679564088543,"2P"
14,1,0,"complex",30,0,0,0,1,1,1,85.25714293,"1"
15,1,4,"simple",8,0,0,0,1,1,1,77.0936357489756,"2T"
16,1,64,"complex",68,0,0,0,1,1,1,6.88933605997596,"7T"
17,1,45,"simple",4,0,0,0,1,1,1,15.1588056449228,"6T"
18,2,69,"complex",30,0,0,0,1,1,1,7.58932342208901,"7T"
19,1,49,"simple",42,0,0,0,1,1,1,10.8013846436181,"6T"
20,2,38,"complex",71,0,0,0,1,1,1,12.6858522130514,"6T"
21,1,37,"simple",67,0,0,0,1,1,1,13.1818526712718,"6T"
22,2,57,"complex",46,0,0,0,1,1,1,8.77897557752605,"7T"
23,2,27,"simple",94,0,0,0,1,1,1,17.7531338643438,"6T"
24,2,25,"complex",64,0,0,0,1,1,1,19.5579767063575,"6T"
25,1,70,"simple",84,0,0,0,1,1,1,5.97297764996274,"7T"
26,1,34,"complex",55,0,0,0,1,1,1,15.0501890466651,"6T"
27,2,61,"simple",88,0,0,0,1,1,1,7.18517234388927,"7T"
28,2,53,"complex",33,0,0,0,1,1,1,10.4349810925414,"6T"
29,2,95,"simple",76,0,0,0,1,1,1,3.78731778685782,"7T"
30,1,97,"complex",81,0,0,0,1,1,1,3.63943635139486,"7T"
31,1,21,"simple",45,0,0,0,1,1,1,24.8626731591236,"5T"
32,1,95,"complex",76,0,0,0,1,1,1,3.78731778685782,"7T"
33,2,2,"simple",55,0,0,0,1,1,1,64.4700233261041,"2P"
34,1,15,"complex",6,0,0,0,1,1,1,41.7895671051766,"4T"
35,2,86,"simple",78,0,0,0,1,1,1,4.43480900552498,"7T"
36,1,51,"complex",23,0,0,0,1,1,1,11.7723973003979,"6T"
37,1,95,"simple",23,0,0,0,1,1,1,4.94552326547298,"7T"
38,2,73,"complex",9,0,0,0,1,1,1,8.23102037139915,"7T"
39,1,75,"simple",9,0,0,0,1,1,1,7.92082923179021,"7T"
40,1,52,"complex",9,0,0,0,1,1,1,12.7963698673997,"6T"
41,1,35,"simple",44,0,0,0,1,1,1,15.4772703008008,"6T"
42,2,10,"complex",45,0,0,0,1,1,1,41.6363398480981,"4T"
43,2,85,"simple",37,0,0,0,1,1,1,5.34027497193916,"7T"
44,1,94,"complex",10,0,0,0,1,1,1,5.59696810750116,"7T"
45,1,92,"simple",50,0,0,0,1,1,1,4.35941110446291,"7T"
46,1,70,"complex",96,0,0,0,1,1,1,6.04179880030107,"7T"
