region,ps,lt,s,cf,surface,subsurface,pattern,inundationPeriod,usableGrowingSeasonLength,frequency
2,85,simple,0.62865265,0.718697729,40,21,0,7,6,25
1,68,complex,0.423720406,0.269446396,22,12,0,17,6,39
1,5,simple,0.833302549,0.914918977,4,13,0,9,4,27
2,16,complex,0.176814102,0.417752493,4,16,0,13,10,17
2,25,simple,0.354464905,0.226141411,26,4,0,27,6,24
1,24,complex,0.523885145,0.345799004,48,8,0,13,2,22
2,43,simple,0.106220306,0.732843605,38,3,0,1,6,6
2,47,complex,0.853386232,0.156917012,1,22,0,1,10,7
2,82,simple,0.521768526,0.453498886,22,22,0,28,8,27
2,20,complex,0.345115073,0.59530283,45,25,0,11,1,45
1,79,simple,0.532484203,0.123582665,21,23,0,3,5,18
2,68,complex,0.908501051,0.645636601,22,19,0,4,5,8
2,85,simple,0.626496119,0.425749578,1,4,0,22,10,1
1,34,complex,0.84340552,0.90446423,43,2,0,15,9,43
2,93,simple,0.125082964,0.569692184,17,1,0,4,1,19
2,14,complex,0.551486831,0.217428748,29,23,0,26,9,50
1,48,simple,0.490435142,0.747902555,32,6,0,4,0,6
1,52,complex,0.666623021,0.435258016,9,6,0,15,4,43
2,33,simple,0.845079705,0.677728603,33,9,0,17,10,43
2,21,complex,0.219410467,0.431291756,30,5,0,14,5,7
2,73,simple,0.775714461,0.32542712,39,8,0,1,8,4
2,92,complex,0.864688462,0.623662397,26,19,0,16,7,40
2,67,simple,0.160220147,0.745595079,49,6,0,7,7,5
1,52,complex,0.460260912,0.862783031,8,25,0,25,4,13
2,48,simple,0.661082807,0.119468609,16,1,0,19,9,9
1,68,complex,0.953879837,0.77818347,7,23,0,27,9,40
1,4,simple,0.635271434,0.659776752,15,2,0,6,4,43
2,16,complex,0.259092375,0.738026661,49,25,0,0,4,2
2,76,simple,0.006062457,0.516960099,4,1,0,8,2,24
1,96,complex,0.246462788,0.720967289,8,22,0,17,0,49
2,75,simple,0.102870864,0.361558648,3,15,0,24,3,49
2,37,complex,0.63327784,0.964603534,16,0,0,21,4,28
2,39,simple,0.98216983,0.304949904,29,13,0,13,6,14
1,7,complex,0.13452797,0.725081454,36,20,0,5,10,16
1,64,simple,0.342312766,0.228225625,43,24,0,25,10,12
2,70,complex,0.557452218,0.489115652,47,14,0,2,1,19
2,91,simple,0.689333587,0.722729895,27,7,0,8,3,15
2,79,complex,0.301600215,0.507895022,9,8,0,26,6,3
1,5,simple,0.813728101,0.042049283,44,18,0,0,4,11
2,35,complex,0.463798369,0.370423018,32,5,0,3,1,41
2,34,simple,0.791319282,0.232222676,47,4,0,22,1,34
2,56,complex,0.081893845,0.061127417,29,9,0,16,2,39
1,98,simple,0.663513697,0.418950368,39,10,0,4,0,4
1,68,complex,0.665167026,0.111777914,9,10,0,18,1,43
1,8,simple,0.02097064,0.819277877,24,13,0,24,8,26
2,84,complex,0.49230303,0.913602092,32,24,0,6,9,39
2,28,simple,0.53830667,0.350462939,6,1,0,14,10,30
1,55,complex,0.162189125,0.788893294,18,20,0,13,5,13
2,46,simple,0.99522675,0.835043603,43,7,0,17,5,29
2,13,complex,0.547080706,0.159113091,27,8,0,28,10,3
1,27,simple,0.335848803,0.891342671,9,14,0,27,0,25
2,63,complex,0.458911335,0.000992784,18,21,0,15,8,8
