"slc","claySurface","claySubsurface","sandSurface","sandSubsurface","siltSurface","siltSubsurface","cfSurface","cfSubsurface","awhcSurface","awhcSubsurface","ppe","ocSurfacePerc","surfacePH","subsurfacePH","surfaceEC","subsurfaceEC","sarSurface","sarSubsurface","E_DEPTH","bd","egdd","a","m","f","v","n","y","c","d","sv","sn","sy","surfaceDeduction","prelimRating","points","class"
242021,25.3333333333333,39,16.3333333333333,32,24.6666666666667,29.5,1.33333333333333,2,14,53,-238.6,2.02,5.63333333333333,6.4,0,0,2.41,0.2202,200,0.8,1175,17.72,27.1157275759084,4.90991989569344,2.89841947888891,0,0,2.89841947888891,59.5709570957096,0,0,0,67.3792964702919,5.5049759537997,5.5049759537997,"7AD"
242022,19.6666666666667,56,14,11,33.3333333333333,33,0.333333333333333,1,7.66666666666667,36.5,-258.6,3.75666666666667,5.53333333333333,6.45,0,0,3.7038,0.2165,153.2,0.366666666666667,1225,21.72,25.1619386633465,0.424599533511493,4.22222919555554,0,0,4.22222919555554,0,0,0,0,4.64682872906704,70.1912326075864,70.1912326075864,"2A"
242023,19.6666666666667,56,14,11,33.3333333333333,33,0.333333333333333,1,7.66666666666667,36.5,-261,3.75666666666667,5.53333333333333,6.45,0,0,3.7038,0.2165,153.2,0.366666666666667,1237,22.2,25.6419386633465,0.424599533511493,4.22222919555554,0,0,4.22222919555554,0,0,0,0,4.64682872906704,69.7112326075864,69.7112326075864,"2A"
242024,17.6666666666667,45,9.33333333333333,14.5,39.6666666666667,40.5,0.333333333333333,1,6.33333333333333,30.5,-245.1,4.19666666666667,5.5,6.3,0,0,3.86666666666667,0.28935,129.8,0.233333333333333,1204,19.02,22.2541791946409,0,4.71429275000008,0,0,4.71429275000008,0,0,0,0,4.33818338891361,73.4076374164455,73.4076374164455,"2A"
242025,9.66666666666667,21.5,68,65,22.6666666666667,14,3.33333333333333,14,8.33333333333333,37,-267.6,1.49,5.56666666666667,6.25,0,0,3.125,1.3597,160,0.966666666666667,1244,23.52,46.2193625206103,7.10995692169368,3.75556246555567,0,0,3.75556246555567,57.9522967934377,0,0,0,68.8178161806871,-15.0371787012973,-15.0371787012973,"7MD"
242026,17.6666666666667,45,9.33333333333333,14.5,39.6666666666667,40.5,0.333333333333333,1,7.66666666666667,36,-262.4,3.76333333333333,5.56666666666667,6.35,0,0,3.75,0.284,153.2,0.366666666666667,1235,22.48,25.7141791946409,0.411781585118044,3.75556246555567,0,0,3.75556246555567,0,0,0,0,4.16734405067371,70.1184767546854,70.1184767546854,"2A"
242027,13.6666666666667,26,28,45.5,25,29,0.666666666666667,3.5,6.66666666666667,35.5,-225.7,3.54,4.76666666666667,5.8,0,0,4.05733333333333,0.32765,200,0.366666666666667,1155,15.14,30.6134692749394,0.854059604784444,21.9650875322223,0,0,21.9650875322223,0,1.20000644000015,0,0,22.8191471370067,46.5673835880539,46.5673835880539,"3AV"
242028,13.6666666666667,24.5,28,47,25,28,1.33333333333333,4.5,6.66666666666667,31.5,-234.3,3.94666666666667,5.36666666666667,6.3,0,0,3.662,0.31385,141.5,0.333333333333333,1173,16.86,33.1109114247509,0.0679098857449638,6.93651521222228,0,0,6.93651521222228,0,0,0,0,7.00442509796724,59.8846634772818,59.8846634772818,"3M"
242029,13.6666666666667,26,28,45.5,25,29,0.666666666666667,3.5,6.66666666666667,35.5,-242.9,3.54,4.76666666666667,5.8,0,0,4.05733333333333,0.32765,200,0.366666666666667,1197,18.58,34.0534692749394,0.854059604784444,21.9650875322223,0,0,21.9650875322223,0,1.20000644000015,0,0,22.8191471370067,43.1273835880539,43.1273835880539,"4MV"
243001,16,33.5,18.6666666666667,32.5,32.6666666666667,34.5,1,2,9.33333333333333,39.5,-245.4,3.29666666666667,5.46666666666667,6.3,0,0,3.41333333333333,0.28935,164.9,0.433333333333333,1202,19.08,28.8755665534173,1.36889476128301,5.23175312888895,0,0,5.23175312888895,0,0,0,0,6.60064789017196,64.5237855564107,64.5237855564107,"2A"
